"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines  ",2811,556.6,693.3
Manufacture of fluid power equipment ,2812,,556.7
Manufacture of other pumps and compressors,2813,566.3,634.4
Manufacture of other taps and valves ,2814,529.6,685
"Manufacture of bearings, gears, gearing and driving elements",2815,558.6,713.8
Manufacture of other general-purpose machinery ,282,544.1,622.8
"Manufacture of ovens, furnaces and furnace burners ",2821,,507.8
Manufacture of lifting and handling equipment,2822,488,555.3
Manufacture of office machinery and equipment (except computers and peripheral equipment) ,2823,577.8,694.5
Manufacture of power-driven hand tools ,2824,,
Manufacture of non-domestic cooling and ventilation equipment ,2825,601.4,664.4
Manufacture of other general-purpose machinery n.e.c. ,2829,532.7,620
Manufacture of agricultural and forestry machinery ,283,486.3,592.7
Manufacture of agricultural and forestry machinery ,2830,486.3,592.7
Manufacture of metal forming machinery and machine tools ,284,540.7,585.6
Manufacture of metal forming machinery ,2841,526.7,554.5
Manufacture of other machine tools ,2849,635.8,628.2
Manufacture of other special-purpose machinery ,289,551.4,618.9
Manufacture of machinery for metallurgy ,2891,,577
"Manufacture of machinery for mining, quarrying and construction ",2892,564.3,630.1
"Manufacture of machinery for food, beverage and tobacco processing ",2893,492.9,549.1
"Manufacture of machinery for textile, apparel and leather production ",2894,,693.3
Manufacture of machinery for paper and paperboard production ,2895,409.2,482.3
Manufacture of plastics and rubber machinery ,2896,,444.1
Manufacture of other special-purpose machinery n.e.c.,2899,610.7,666.7
"Manufacture of motor vehicles, trailers and semi-trailers ",29,585.9,664.8
Manufacture of motor vehicles ,291,642.3,750.6
Manufacture of motor vehicles ,2910,642.3,750.6
Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semitrailers ,292,417,466.8
Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers ,2920,417,466.8
Manufacture of parts and accessories for motor vehicles ,293,445.2,538.6
Manufacture of electrical and electronic equipment for motor vehicles,2931,,363.7
Manufacture of other parts and accessories for motor vehicles ,2932,447.8,541.4
Manufacture of other transport equipment ,30,673.1,733.9
Building of ships and boats ,301,577.4,662.7
Building of ships and floating structures ,3011,653.4,693.5
Building of pleasure and sporting boats ,3012,489.6,572.4
Manufacture of railway locomotives and rolling stock ,302,595.3,674.8
Manufacture of railway locomotives and rolling stock ,3020,595.3,674.8
Manufacture of air and spacecraft and related machinery ,303,741.4,778.2
Manufacture of air and spacecraft and related machinery ,3030,741.4,778.2
Manufacture of military fighting vehicles ,304,520,562
Manufacture of military fighting vehicles ,3040,520,562
Manufacture of transport equipment n.e.c.,309,432.9,467.9
Manufacture of motorcycles  ,3091,,531.2
Manufacture of bicycles and invalid carriages ,3092,425.6,446.9
Manufacture of other transport equipment n.e.c.,3099,,
Manufacture of furniture ,31,391.8,469.8
Manufacture of furniture,310,391.8,469.8
Manufacture of office and shop furniture ,3101,421.9,517.3
Manufacture of kitchen furniture ,3102,378.4,466.1
