EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
NPOWER YORKSHIRE LIMITED,"Windmill Hill Business Park, Whitehill Way,
Swindon,
SN5 6PB",03937808,35120,-9.00,10.00,-34.00,-31.00,94.00,100.00,97.00,3.00,96.00,4.00,99.00,1.00,96.00,4.00,https://www.npowerjobs.com/resources/Commentary_npower_Yorkshire_LTD.pdf,Christopher Pilgrim (HR Director)
NUMATIC INTERNATIONAL LIMITED,"Knoll House, Knoll Road,
Camberley,
GU15 3SY",00773331,27510,25.90,4.30,99.00,98.30,6.20,0.50,74.50,25.50,69.60,30.40,77.50,22.50,88.70,11.30,http://www.numatic.co.uk,Stephen Whitlock (Finance Director)
Oakham School,"Chapel Close,
Market Place,
Oakham,
Rutland,
United Kingdom,
LE15 6DT",06924216,85310,19.20,30.30,0.00,0.00,0.00,0.00,21.00,79.00,40.00,60.00,43.00,57.00,52.60,47.40,,NEIL GORMAN (CHAIR OF TRUSTEES)
"OCEAN LEARNING TRUST ","Bethany Church Of England Junior School, Knole Road,
Boscombe,
United Kingdom,
BH1 4DJ",09628750,85200,35.90,55.00,0.00,0.00,0.00,0.00,10.60,89.40,8.80,91.20,10.30,89.70,27.90,72.10,,Stephen Orman (Executive Headteacher)
OCTOPUS CAPITAL LIMITED,"6th, Floor, 33 Holborn,
London,
EC1N 2HT",03981143,66120,38.10,40.30,75.60,71.90,97.90,98.30,39.30,60.70,46.30,53.70,59.30,40.70,82.00,18.00,http://octopusgroup.com/,Simon Rogerson (Chief Executive Officer)
Oil States Industries (UK) Ltd.,"Site E6, Moss Road, Gateway Business Park,
Nigg,
Aberdeen,
Scotland,
AB12 3GQ",SC163254,9100,14.50,10.40,37.70,20.50,100.00,100.00,68.90,31.10,88.50,11.50,88.50,11.50,86.90,13.10,,Neville Gall (Area HR Manager)
OLDHAM COMMUNITY LEISURE LIMITED,"Chadderton Wellbeing Centre,
Burnley Street,
Chadderton,
OL9 0JW",IP29372R,,-5.80,-11.20,-71.00,-81.90,2.30,0.60,48.00,52.00,44.00,56.00,46.00,54.00,38.00,62.00,https://oclactive.co.uk/about-us/,Stuart Lockwood (Chief Executive)
Oliver Bonas Ltd.,"Unit F, Davis Road Industrial,
Park, Davis Road,
Chessington,
Surrey,
United Kingdom,
KT9 1TQ",03799350,47190,9.60,1.40,18.10,27.70,45.90,42.60,13.50,86.50,17.90,82.10,15.70,84.30,18.50,81.50,https://www.oliverbonas.com/,Anna Parfitt (HR Director)
OMAR PARK HOMES LIMITED,"London Road,,
Brandon,
IP27 0NE",06860361,32990,-2.00,-3.00,-56.00,0.00,74.00,75.00,85.00,15.00,98.00,2.00,85.00,15.00,88.00,12.00,http://www.omar.co.uk/assets/Uploads/Gender-Pay-Gap-2017.pdf,Karen Wilson (HR Director)
One Call Recruitment Ltd.,"Enterprise House, 38 Tyndall Court Commerce Road,
Lynch Wood,
Peterborough,
England,
PE2 6LR",03683143,78109,0.90,0.00,0.00,0.00,0.00,0.00,55.20,44.80,40.20,59.80,51.70,48.30,58.20,41.80,,Sharon Chittock (Director)
"ONE YMCA ","Charter House, Charter Place,
Watford,
WD17 2RT",04430743,"55900,
85510,
88910,
94990",14.00,16.00,0.00,0.00,0.00,0.00,14.00,86.00,22.00,78.00,44.00,56.00,32.00,68.00,,Joseph Kennedy (Head of Human Resources)
ORWELL HOUSING ASSOCIATION LIMITED,"325 London Road,
Ipswich,
Suffolk,
IP2 0BE",IP16460R,,18.10,14.70,38.90,71.40,19.10,11.80,18.40,81.60,11.70,88.30,13.50,86.50,39.00,61.00,,Stephen Javes (Chief Executive)
Outlook Care,"unit 6 woodbrook crescent,
billericay,
ESSEX,
CM12 0EQ",IP26988R,,10.40,4.00,0.00,0.00,0.00,0.40,23.80,76.20,19.50,80.50,16.40,83.60,15.70,84.30,http://outlookcare.org.uk/wp-content/uploads/2018/01/Gender-Gap-2017-Outlook-Care-report.pdf,Piotr Rejek (Chief Executive)
Outokumpu Stainless Ltd.,"Main Administration Building,
PO BOX 161,
Europa Link, Sheffield,
Yorkshire,
United Kingdom,
S9 1TZ",02794127,24100,2.60,22.70,-19.20,26.20,95.10,95.20,92.40,7.60,86.30,13.70,96.90,3.10,93.90,6.10,,Martin Pinder (VP HR BA Long Products & UK Region)
Ove Arup & Partners International Ltd.,"13 Fitzroy Street,
London,
United Kingdom,
W1T 4BQ",00952468,71122,17.40,16.70,40.40,30.40,87.70,84.60,53.80,46.20,60.70,39.30,69.50,30.50,77.60,22.40,https://www.arup.com/publications/research/section/gender-pay-gap-report-2017,"Dervilla Mitchell (Chair, UKMEA)"
