EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
ST. ANN'S HOSPICE,"St. Ann's Road North, Heald Green,
Cheadle,
SK8 3SZ",00947220,86101,3.90,-5.40,0.00,0.00,0.00,0.00,14.60,85.40,14.30,85.70,8.30,91.70,12.90,87.10,,Eamonn O'Neal (Chief Executive Officer)
ST. LUKE'S HOSPICE PLYMOUTH,"St Lukes Hospice, Stamford Road,
Turnchapel,
Plymouth,
PL9 9XA",01505753,86900,2.00,-10.00,0.00,0.00,0.00,0.00,23.00,77.00,31.00,69.00,24.00,76.00,19.00,81.00,https://www.stlukes-hospice.org.uk/wp-content/uploads/2018/01/St-Lukes-Hospice-Plymouth-Gender-Pay-Gap-Report-2017.pdf,Steve Statham (CEO)
St.Helen's School Northwood,"Eastbury Road,
Northwood,
Middx,
United Kingdom,
HA6 3AS",00420867,"85200,
85310",4.70,4.90,0.00,0.00,0.00,0.00,32.00,68.00,15.80,84.20,18.70,81.30,34.70,65.30,,Mark Mackenzie Crooks (Business Director)
Step Academy Trust,"Gonville Road,
Thornton Heath,
Surrey,
United Kingdom,
CR7 6DL",07612865,"1,
85200",31.00,40.00,0.00,0.00,0.00,0.00,6.00,94.00,9.00,91.00,21.00,79.00,23.00,77.00,http://www.stepacademytrust.org/,
STRATHCARRON HOSPICE,"Randolph Hill, Fankerton,
Denny,
FK6 5HJ",SC068503,86900,4.90,-5.60,0.00,0.00,0.00,0.00,8.30,91.70,9.60,90.40,5.60,94.40,9.70,90.30,https://www.strathcarronhospice.net/Governance,Irene McKie (Chief Executive)
STRATHCARRON HOSPICE RETAIL LIMITED,"Strathcarron Hospice Randolph Hill, Fankerton,
Denny,
FK6 5HJ",SC357640,47190,4.90,-5.60,0.00,0.00,0.00,0.00,8.30,91.70,9.60,90.40,5.60,94.40,9.70,90.30,https://www.strathcarronhospice.net/Governance,Irene McKie (Chief Executive)
Strevens Vehicles Holdings Ltd.,"Hazel Drive,
Narborough Road South,
Leicester,
United Kingdom,
LE3 2JG",02692287,70100,22.90,21.10,93.80,93.20,32.60,13.80,78.20,21.80,81.00,19.00,92.10,7.90,91.00,9.00,https://www.fordandslater.co.uk/about-us/ford-and-slater-gender-pay-gap/,Nigel Strevens (Joint Managing Director)
Stroud District Council,"Ebley Mill,
Westward Road,
Stroud,
Gloucestershire,
United Kingdom,
GL5 4UB",,"1,
84110",14.00,17.20,0.00,0.00,0.00,0.00,45.00,55.00,20.00,80.00,35.00,65.00,58.00,42.00,,
Style Acre,"1 London Street,
Reading,
England,
RG1 4PN",04906985,88990,14.20,0.00,0.00,0.00,0.00,0.00,16.50,83.50,15.20,84.80,11.40,88.60,27.80,72.20,http://styleacre.org.uk/wp-content/uploads/2017/10/Style-Acre-Gender-Pay-Gap-Report-2017.pdf,Chris Ingram (Chief Executive)
Styles & Brown Ltd,"Unit 10, Weycroft Avenue,
Millwey Rise Industrial Estate,
Axminster,
Devon,
EX13 5PH",03507847,47190,10.00,5.00,15.00,20.00,33.00,34.00,55.00,45.00,68.00,32.00,75.00,25.00,85.00,15.00,,Jane Boulton (Human Resources Director)
Summit Recruitment Ltd.,"First Floor Chilworth Point,
1 Chilworth Road,
Southampton,
Hampshire,
United Kingdom,
SO16 7JQ",09304744,78200,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,https://www.summitlondon.uk,stephen Kyjak-Lane (Director)
Support For Living Ltd.,"97 - 107 Uxbridge Road,
Ealing,
W5 5TL",IP27062R,,4.80,7.10,0.00,0.00,5.40,4.60,15.60,84.40,32.30,67.70,31.30,68.70,31.30,68.70,http://www.certitude.org.uk/work-for-us/gender-pay-report/,Aisling Duffy (Chief Executive)
Surface Technology International Ltd.,"Osborn Way,
Hook,
Hampshire,
United Kingdom,
RG27 9HX",02292621,26301,19.70,11.70,68.20,0.00,4.40,4.00,62.00,38.00,70.00,30.00,74.00,26.00,84.00,16.00,http://www.sti-limited.com/careers/diversity-equal-opportunities/,Simon Best (Managing Director)
Surrey Satellite Technology Ltd.,"Tycho House, 20 Stephenson Road,
Surrey Research Park,
Guildford,
Surrey,
United Kingdom,
GU2 7YE",01916260,"26110,
30300,
72190",7.40,16.50,8.20,23.40,91.00,96.00,60.00,40.00,89.00,11.00,84.00,16.00,81.00,19.00,http://www.sstl.co.uk/About-SSTL/Company-Information,Sarah Parker (Managing Director)
Sussex Coast College,"Station Approach,
Hastings,
East Sussex,
United Kingdom,
TN34 1BA",,"1,
85320",15.60,14.80,-601.90,-229.00,2.20,1.80,37.00,63.00,29.00,71.00,39.00,61.00,56.00,44.00,,
SUSTRANS LIMITED,"2 Cathedral Square,
College Green,
Bristol,
United Kingdom,
BS1 5DD",01797726,74909,9.50,6.00,0.00,0.00,0.00,0.00,42.00,58.00,50.00,50.00,45.00,55.00,65.00,35.00,https://www.sustrans.org.uk/sites/default/files/file_content_type/sustrans_gender_pay_gap_and_pay_ratio_data_report_2017_4.pdf,James Bigwood (HR and Support Services Director)
Swale Borough Council,"Swale House,
East Street,
ME10 3HT",,"1,
84110",16.90,21.00,0.00,0.00,0.00,0.00,17.80,82.20,24.70,75.30,34.20,65.80,42.50,57.50,https://www.swale.gov.uk/transparency#genderpaygap,
Swallowfield PLC,"Swallowfield House,
Station Road,
Wellington,
Somerset,
United Kingdom,
TA21 8NL",01975376,20420,2.20,5.20,16.90,12.80,81.90,82.10,51.00,49.00,59.00,41.00,61.00,39.00,42.00,58.00,,Matthew Gazzard (Group Finance Director)
Sweet Dreams (Nelson) Ltd.,"Primrose Mill Martin Street,
Burnley,
Lancashire,
United Kingdom,
BB10 1SH",02322358,32990,-46.40,-4.70,0.00,0.00,0.00,0.00,100.00,0.00,95.00,5.00,97.00,3.00,93.00,7.00,,David Pilkington (Financial Controller)
Sydenhams Ltd,"45-47 Ashley Road,
Boscombe,
Bournemouth,
Dorset,
United Kingdom,
BH1 4LG",00168966,46730,10.00,9.00,61.00,62.00,95.00,86.00,90.00,10.00,85.00,15.00,84.00,16.00,93.00,7.00,http://www.sydenhams.co.uk/,Ray Pride (Financial Director)
Syntel Europe Ltd.,"Bolsover House, 3rd Floor,
5/6 Clipstone Street,
London,
England,
W1W 6BB",03227061,62090,12.30,4.90,30.90,1.90,49.30,33.70,68.20,31.80,85.10,14.90,88.90,11.10,93.30,6.70,,NIRMALKUMAR SANTHOSAM (Manager - Human Resource)
T Brown Group Ltd.,"24 High Street,
Ewell,
Surrey,
United Kingdom,
KT17 1SJ",01006630,"43210,
43220",22.60,24.70,16.80,27.60,10.00,2.00,70.70,29.30,59.60,40.40,85.80,14.20,88.70,11.30,http://www.tbrown.com/gender-pay-gap/,Emily Gardiner (HR Director)
T.R. Fastenings Ltd.,"Trifast House, Bellbrook Park,
Uckfield,
East Sussex,
TN22 1QW",01103675,25940,2.60,-2.20,21.00,0.00,98.10,95.90,84.00,16.00,54.70,45.30,66.30,33.70,69.10,30.90,https://www.trfastenings.com/company/careers/employees,Mark Belton (CEO)
Tandridge District Council,"Council Offices,
8 Station Road East,
Oxted,
RH80BT",,1,9.40,14.70,0.00,0.00,0.00,0.00,56.80,43.20,35.90,64.10,49.30,50.70,66.20,33.80,https://www.tandridge.gov.uk/Your-council/Freedom-of-information-and-data/Council-structure-management-and-pay/Gender-pay-gap-data,
TATA CHEMICALS EUROPE LIMITED,"Mond House, Winnington,
Northwich,
CW8 4DT",02607081,20590,-11.00,1.00,47.00,50.00,11.00,28.00,80.00,20.00,94.00,6.00,92.00,8.00,84.00,16.00,https://www.tatachemicalseurope.com/csr/ethical-business,"Karen Lounds (General Manager, HR and IT)"
Telefonica UK Ltd.,"260 Bath Road,
Slough,
Berkshire,
United Kingdom,
SL1 4DX",01743099,"61200,
61900",18.60,20.20,29.60,18.30,92.50,92.50,60.20,39.80,54.80,45.20,61.80,38.20,74.30,25.70,https://www.o2.co.uk/sites/default/files/2017-12/O2-GPG-Report-2017.pdf,Mark Evans (CEO)
Tenet Group Ltd.,"5 Lister Hill,
Horsforth,
Leeds,
West Yorkshire,
United Kingdom,
LS18 5AZ",03909395,64205,28.00,32.00,11.00,26.00,87.00,85.00,28.00,72.00,34.00,66.00,51.00,49.00,68.00,32.00,,Martin Greenwood (Chief Executive)
Tes Global Ltd.,"26 Red Lion Square,
London,
United Kingdom,
WC1R 4HQ",02017289,"58142,
62090,
63120",24.70,20.80,57.50,73.90,30.00,25.00,34.90,65.10,46.00,54.00,55.00,45.00,61.80,38.20,https://www.tesglobal.com/content/tes-global%E2%80%99s-2017-gender-pay-gap-report,Robert Grimshaw (CEO)
THAMES WATER UTILITIES LIMITED,"Clearwater Court, Vastern Road,
Reading,
RG1 8DB",02366661,36000,13.30,15.40,27.40,13.70,7.40,6.80,57.00,43.00,64.00,36.00,76.00,24.00,77.00,23.00,https://corporate.thameswater.co.uk/-/media/Site-Content/Thames-Water/Corporate/AboutUs/CRS/Gender-pay-gap.pdf,Janet Burr (HR Director)
The Action Group,"Norton Park Centre,
57 Albion Road,
Edinburgh,
United Kingdom,
EH7 5QY",SC105634,"87200,
88990",2.70,7.00,6.00,18.00,62.20,51.50,27.00,73.00,29.00,71.00,37.80,62.20,31.10,68.90,https://actiongroup.org.uk/gender-pay-gap/,Linda Tuthill (Chief Executive)
The Active Learning Trust Ltd.,"Isle Of Ely Primary School School Road,
Off Cam Drive,
Ely,
Cambridgeshire,
England,
CB6 2FG",07903002,"85100,
85200,
85310,
85600",29.10,29.40,0.00,0.00,0.00,0.00,10.30,89.70,8.30,91.70,12.70,87.30,23.00,77.00,https://activelearningtrust.org,Gary Peile (Chief Executive Officer)
THE ALDINGBOURNE TRUST,"Thomas Eggar House, Friary Lane,
Chichester,
West Sussex,
PO19 1UF",01385053,"1130,
88990",1.10,-2.00,0.00,0.00,0.00,0.60,33.00,67.00,31.00,69.00,33.00,67.00,27.00,73.00,https://www.aldingbournetrust.co.uk/wordpress/wp-content/uploads/2018/01/Aldingbourne-Trust-Gender-Pay-Gap-Report.pdf,Martin Botting (Head of Human Resources)
The Bartrum Group Ltd.,"Langton Green,
Eye,
Suffolk,
United Kingdom,
IP23 7HN",02829124,70100,0.00,0.00,0.00,0.00,50.00,50.00,90.00,10.00,90.00,10.00,61.00,39.00,74.00,26.00,http://www.bartrums.com/,Andrew Watton (Group CSO)
"The Bedfordshire, Northamptonshire, Cambridgeshire And Hertfordshire Community Rehabilitation Co. Lt","One Southampton Row,
Southampton Row,
London,
United Kingdom,
WC1B 5HA",08802546,84230,2.50,3.90,0.00,0.00,0.00,0.00,21.00,79.00,24.00,76.00,36.00,64.00,22.00,78.00,http://uk.sodexo.com/genderpay2017,Andy Rogers (UK & Ireland Human Resources Director)
The Best Connection Group Ltd.,"Unit 1, Topaz,
Topaz Way,
Bromsgrove,
Worcestershire,
B61 0GD",02600534,78200,6.70,2.10,71.70,77.00,3.50,8.90,69.30,30.70,69.00,31.00,79.30,20.70,85.50,14.50,,Andrew Sweeney (CEO)
The Big Life Co. Ltd.,"1st Floor 463 Stretford Road,
Manchester,
Lancs,
United Kingdom,
M16 9AB",04227431,86900,10.40,14.30,0.00,0.00,0.00,0.00,7.20,92.80,20.00,80.00,25.60,74.40,23.80,76.20,https://thebiglifegroup.com,Caroline Price (Executive Director)
"The Bristol, Gloucestershire, Somerset And Wiltshire Community Rehabilitation Co. Ltd.","Queensway House The Hedges,
St. Georges,
Weston-Super-Mare,
Avon,
United Kingdom,
BS22 7BB",08802537,84230,7.60,1.00,0.00,0.00,0.00,0.00,17.50,82.50,42.90,57.10,25.40,74.60,42.90,57.10,http://workinglinks.co.uk/content/view/Our+gender+pay+gap,Clare Davey (Chief HR Officer)
The British Library,"96 Euston Road,
London,
NW12DB",,"1,
91011",6.20,1.80,25.50,25.50,0.30,0.10,41.80,58.20,39.90,60.10,48.00,52.00,50.10,49.90,http://www.bl.uk/aboutus/foi/pubsch/pubscheme2/BL%20GPG%20comms%20-%20v14%20final.pdf,
The British Museum,"Great Russell Street,
London,
WC1B 3DG",,1,0.00,-4.00,0.00,0.00,0.00,0.00,51.00,49.00,42.00,58.00,39.00,61.00,43.00,57.00,http://www.britishmuseum.org/pdf/N%20Diversity%20Summary%20Report%2031%20March%2017.pdf,
THE CELTIC MANOR RESORT LIMITED,"Coldra Woods,,
Newport,
NP18 1HQ",08428620,55100,12.90,0.00,14.10,0.00,15.50,41.50,41.20,58.80,48.10,51.90,48.10,51.90,62.80,37.20,,Dylan Matthews (Director)
THE CHARTERED INSTITUTE OF PERSONNEL AND DEVELOPMENT,"151 The Broadway,
London,
SW19 1JQ",RC000758,,14.90,10.80,16.00,17.60,85.00,87.00,32.20,67.80,23.80,76.20,25.30,74.70,43.40,56.60,https://www.cipd.co.uk/about/who-we-are/cipd-gender-pay-gap-report,Brad Taylor (Director of People)
THE CHURCH OF ENGLAND CHILDREN'S SOCIETY,"Edward Rudolf House, Margery Street,
London,
WC1X 0JL",00040004,88990,17.30,20.80,0.00,0.00,0.00,0.00,18.30,81.70,21.10,78.90,19.40,80.60,40.50,59.50,https://www.childrenssociety.org.uk/sites/default/files/gender-pay-gap-report-2017_18.pdf,Liz Walker (Director of Finance & Corporate Services)
The Collegiate Academy Trust,"Shireland Collegiate Academy,
Waterloo Road,
Smethwick,
West Midlands,
United Kingdom,
B66 4ND",06336693,"1,
85310",29.80,34.80,54.30,17.00,4.10,1.40,87.30,12.70,40.00,60.00,43.60,56.40,37.50,62.50,http://www.collegiateacademy.org.uk/,
The Commission for Equality and Human Rights,"Arndale House, The Arndale Centre,,
Manchester,
M43AQ",,1,-7.50,-8.20,8.60,0.00,90.30,94.00,46.30,53.70,51.20,48.80,39.00,61.00,36.60,63.40,https://www.equalityhumanrights.com/en/publication-download/gender-pay-gap-report-snapshot-date-31-march-2017,
The Co-Operative Bank PLC,"PO BOX 101, 1 Balloon Street,
Manchester,
M60 4EP",00990937,64191,30.30,22.60,50.20,65.30,22.10,23.30,35.00,65.00,31.00,69.00,41.00,59.00,61.00,39.00,http://www.co-operativebank.co.uk/aboutus/ourbusiness/women-in-finance,Tracey Kneller (HR Director)
The Crown Estate Commissioners,"1 St James's Market,
London,
SW1Y 4AH",,1,-3.00,-31.00,16.00,-12.00,84.00,72.00,78.00,22.00,56.00,44.00,48.00,52.00,67.00,33.00,https://www.thecrownestate.co.uk/who-we-are/our-people/gender-pay-at-the-crown-estate/,
The Cumbria And Lancashire Community Rehabilitation Co. Ltd.,"One,
Southampton Row,
London,
United Kingdom,
WC1B 5HA",08802569,84230,7.00,3.90,28.30,80.00,9.00,18.00,24.00,76.00,34.00,66.00,33.00,67.00,38.00,62.00,http://uk.sodexo.com/genderpay2017,Andy Rogers (UK & Ireland Human Resources Director)
THE DAUGHTERS OF CHARITY OF ST. VINCENT DE PAUL SERVICES,"Provincial House, The Ridgeway,
London,
NW7 1RE",07638065,82990,8.10,4.90,0.00,0.00,0.00,0.00,9.20,90.80,15.40,84.60,10.60,89.40,6.10,93.90,,Sujatha Alexander (HR Manager)
The Donaldson Trust,"Preston Road,
Linlithgow,
EH49 6HZ",,1,-6.40,-15.00,0.00,0.00,0.00,0.00,12.50,87.50,28.60,71.40,14.30,85.70,12.50,87.50,,
"The Dorset, Devon And Cornwall Community Rehabilitation Co. Ltd.","Queensway House The Hedges, St. Georges,
Weston-Super-Mare,
England,
BS22 7BB",08802539,84230,5.00,7.60,0.00,0.00,0.00,0.00,4.70,95.30,35.70,64.30,32.60,67.40,31.00,69.00,http://workinglinks.co.uk/content/view/Our+gender+pay+gap,Clare Davey (Chief HR Officer)
The Financial Conduct Authority,"25 The North Colonnade,
Canary Wharf,
London,
E14 5HS",01920623,"1,
80300,
84110,
84130",19.30,20.90,19.40,25.20,76.00,74.00,35.00,65.00,43.00,57.00,54.00,46.00,64.00,36.00,https://www.fca.org.uk/about/corporate-responsibility/diversity-inclusion/our-gender-pay-gap,
The First Federation Trust,"Blackpool C Of E Primary School,
Liverton,
Newton Abbot,
Devon,
United Kingdom,
TQ12 6JB",07819870,"1,
85200",33.40,47.60,0.00,0.00,0.00,0.00,7.30,92.70,1.20,98.80,12.00,88.00,15.70,84.30,,
The Gorse Academies Trust,"Bruntcliffe Academy Bruntcliffe Lane,
Morley,
Leeds,
United Kingdom,
LS27 0LZ",07465701,"1,
85310",13.10,18.40,0.00,0.00,0.00,0.00,21.50,78.50,25.30,74.70,20.80,79.20,34.80,65.20,https://www.tgat.org.uk/gender-pay-gap-reporting/,
The Information Commissioner's Office,"Wycliffe House,
Water Lane,
Wilmslow,
Cheshire,
United Kingdom,
SK9 5AF",,"1,
94110",9.00,0.20,0.00,0.00,77.40,76.30,31.00,69.00,41.70,58.30,37.40,62.60,46.10,53.90,https://ico.org.uk/about-the-ico/our-information/equality-and-diversity/,
THE JPM GROUP COMPANIES LTD,"126, Rickmansworth Road,
Watford,
WD18 7WR",05504892,81210,-11.90,-7.90,20.00,0.00,11.10,66.70,16.70,83.30,33.30,66.70,33.30,66.70,66.70,33.30,http://www.thejpmgroup.com,Paul Martindale (Finance Director)
"THE KENT, SURREY AND SUSSEX COMMUNITY REHABILITATION COMPANY LIMITED","75-77, Main Road,
Hockley,
SS5 4RG",08802556,84230,0.80,2.00,0.00,0.00,0.00,0.30,11.00,89.00,35.20,64.80,32.80,67.20,23.60,76.40,http://ksscrc.co.uk/news-gender-pay-gap-data-,Alison Bunney (Group Business Development Director & Managing Director SESI)
The Labour Party,"8th Floor,
sw1e 6qt",,1,2.50,4.00,4.50,0.00,21.30,26.70,58.00,42.00,46.00,54.00,60.00,40.00,53.00,47.00,http://labour.org.uk/wp-content/uploads/2018/01/Gender-Pay-Gap-2017-report.pdf,
The Manchester College,"34 Whitworth Street,
M1 3HB",,"1,
85320",6.30,7.20,15.30,0.00,3.90,3.30,25.50,74.50,37.30,62.70,48.40,51.60,39.50,60.50,https://www.ltegroup.co.uk/,
The Manor House Hotel (Castle Combe) Ltd.,"Executive Office,
Pennyhill Park Hotel & Spa,
Bagshot,
Surrey,
United Kingdom,
GU19 5EU",02256084,55100,5.70,4.00,-42.20,29.00,21.00,44.00,48.60,51.40,49.30,50.70,46.60,53.40,47.30,52.70,,Christine Davies (Finance Director)
The Medical Protection Society Ltd.,"Level 19, The Shard,
32 London Bridge Street,
London,
United Kingdom,
SE1 9SG",00036142,94120,24.50,29.50,38.40,42.70,84.00,82.00,34.00,66.00,25.00,75.00,42.00,58.00,46.00,54.00,https://www.medicalprotection.org/uk/about-mps/our-approach-to-business,Beverley Proctor (Executive Director of Human Resources)
The Midcounties Co-Operative Ltd.,"Co-operative House,
Warwick Technology Park,
Gallows Hill,
Warwick,
United Kingdom,
CV34 6DA",IP19025R,,14.60,-3.10,72.90,35.30,62.30,74.70,35.90,64.10,27.60,72.40,26.80,73.20,42.00,58.00,https://www.midcounties.coop/society/gender-pay-gap-report/,Helen Wiseman (President)
The National Archives,"Kew,
Richmond,
Surrey,
TW9 4DU",,"1,
52103",1.10,-2.00,-0.70,0.00,22.10,30.30,58.00,42.00,44.00,56.00,46.70,53.30,53.30,46.70,http://www.nationalarchives.gov.uk/about/our-role/transparency/our-staff,
The National Crime Agency,"Units 1 - 6 Citadel Place,
Tinworth Street,
SE11 5EF",,"1,
84240",11.60,16.20,-6.30,-14.70,13.90,16.50,51.10,48.90,57.60,42.40,65.80,34.20,74.90,25.10,http://nationalcrimeagency.gov.uk/publications/877-nca-gender-pay-gap-2016-17/file,
The National Gallery,"Trafalgar Square,
London,
London,
United Kingdom,
WC2N 5DN",PUBLIC075,91020,14.40,15.20,100.00,100.00,0.30,0.00,21.00,79.00,21.00,79.00,36.00,64.00,38.00,62.00,https://www.nationalgallery.org.uk/about-us/organisation/policies/gender-equality-scheme?viewPage=3,RoseMarie Loft (Head of Human Resources)
The Office for Nuclear Regulation,"Redgrave Court,
Merton Road,
Liverpool,
L20 7HS",,1,32.90,55.30,22.40,9.20,39.40,32.00,36.40,63.60,65.70,34.30,86.50,13.50,85.00,15.00,http://www.onr.org.uk/documents/2017/onr-gender-pay-report-2017.pdf,
THE OUTWARD BOUND TRUST,"Hackthorpe Hall, Hackthorpe,
Penrith,
CA10 2HX",06748835,85310,0.00,-3.00,27.00,0.00,11.40,21.00,59.00,41.00,64.00,36.00,64.00,36.00,52.00,48.00,https://www.outwardbound.org.uk/media/1166413/Gender_Pay_Report.pdf,Francesca Scott (Head of People Strategy)
The Pirbright Institute,"Pirbright Laboratory Ash Road,
Pirbright,
Woking,
Surrey,
United Kingdom,
GU24 0NF",00559784,72190,14.70,15.10,52.00,25.00,10.10,10.60,36.00,64.00,48.00,52.00,56.00,44.00,68.00,32.00,http://www.pirbright.ac.uk/files/quick_media/Gender%20pay%20gap%20report%202017.pdf,Bryan Charleston (Institute Director and CEO)
The Press Association Ltd.,"Pa Newscentre,
292 Vauxhall Bridge Road,
London,
United Kingdom,
SW1V 1AE",05946902,96090,0.80,0.50,28.50,0.00,70.50,69.90,66.70,33.30,60.60,39.40,62.50,37.50,65.70,34.30,https://www.pressassociation.com/corporate-info/,Edward Ethelston (Chief Financial Officer)
The Quality Furniture Co. Ltd.,"Alma Park Industrial Estate,
Alma Park Road,
Grantham,
Lincolnshire,
United Kingdom,
NG31 9SE",04927144,31090,-22.10,-12.90,53.30,83.70,2.40,11.60,78.20,21.80,85.90,14.10,83.30,16.70,66.70,33.30,,Carole Evans (Head of People)
The Rowan Learning Trust,"Hawkley Hall High School Carr Lane,
Hawkley Hall,
Wigan,
United Kingdom,
WN3 5NY",08010464,"1,
85200,
85310",22.40,35.90,0.00,0.00,0.00,0.00,14.50,85.50,24.70,75.30,29.10,70.90,29.10,70.90,,
THE ROYAL HORTICULTURAL SOCIETY,"80 Vincent Square,
London,
SW1P 2PE",RC000480,,6.20,-0.40,0.40,0.00,95.30,98.70,35.00,65.00,42.30,57.70,33.20,66.80,43.30,56.70,https://www.rhs.org.uk/about-the-rhs/what-we-do/gender-pay-gap,Lucy Semmens (Director of People)
The Royal Masonic Benevolent Institution Care Co.,"60 Great Queen Street,
London,
United Kingdom,
WC2B 5AZ",01293566,87100,14.40,0.10,-12.00,0.10,2.40,1.00,13.00,87.00,32.00,68.00,17.00,83.00,75.00,25.00,https://www.rmbi.org.uk/gender-pay-gap-report,Louise Bateman (Human Resources Director)
THE ROYAL STAR & GARTER HOMES,"15 Castle Mews,
Hampton,
Middx,
TW12 2NP",RC000713,,6.20,0.00,3.50,3.50,5.40,0.90,12.90,87.10,23.90,76.10,23.90,76.10,18.30,81.70,,Siobhan Creighton (Director of Human Resources)
The Sandwell Community Caring Trust,"9th Floor West Plaza,
144 High Street,
West Bromwich,
United Kingdom,
B70 6JJ",03286106,86900,3.00,5.00,0.00,0.00,0.00,0.00,11.00,89.00,9.00,91.00,18.00,82.00,15.00,85.00,http://www.sandwellcct.org.uk,Geoffrey Walker (CEO)
The Shared Learning Trust,"The Chalk Hills Academy,
Leagrave High Street,
Luton,
Bedfordshire,
England,
LU4 0NE",05958361,"1,
85200,
85310",18.00,30.00,0.00,0.00,0.00,0.00,17.00,83.00,23.00,77.00,35.00,65.00,40.00,60.00,,
THE SOUTHERN CO-OPERATIVE LIMITED,"1000 Lakeside,
Western Road,
Portsmouth,
PO6 3FE",IP01591R,,10.00,4.00,45.00,18.00,47.00,60.00,45.00,55.00,19.00,81.00,43.00,57.00,43.00,57.00,http://www.thesouthernco-operative.co.uk/southern-co-op-gender-pay-gap-2017/,Andrew Cast (Chair of Southern Co-op Remuneration Committee)
The St Neots Learning Partnership,"LONGSANDS COLLEGE,
Longsands Road,
St. Neots,
Cambridgeshire,
United Kingdom,
PE19 1LQ",07703784,"1,
85310",14.30,23.80,0.00,0.00,0.00,0.00,20.00,80.00,18.00,82.00,37.00,63.00,36.00,64.00,,
The Ted Wragg Multi Academy Trust,"GRADUATE SCHOOL OF EDUCATION UNIVERSITY OF EXETER,
HEAVITREE ROAD,
United Kingdom,
EX1 2LU",08545109,"1,
85200",17.40,29.60,0.00,0.00,0.00,0.00,22.20,77.80,23.40,76.60,35.90,64.10,45.30,54.70,https://www.tedwraggtrust.co.uk/wp-content/uploads/2016/10/Statutory-Gender-Pay-Gap-Final-Report.pdf,
The Thomas Hardye Multi Academy Trust,"Queens Avenue,
Dorchester,
DT1 2ET",07677838,"1,
85310,
85410",24.90,34.60,0.00,0.00,0.00,0.00,10.60,89.40,27.90,72.10,41.20,58.80,50.00,50.00,,
The Two Counties Trust,"Ashfield School,
Sutton Road,
Kirby In Ashfield,
Nottinghamshire,
United Kingdom,
NG17 8HP",07972029,"1,
85310",14.10,22.10,0.00,0.00,0.00,0.00,20.00,80.00,37.00,63.00,28.00,72.00,47.00,53.00,http://www.twocountiestrust.co.uk/gender_pay_gap.php,
The University of Salford,"The Crescent,,
Salford,
M5 4WT,",,1,14.00,21.00,-11.00,0.00,4.00,4.00,38.00,62.00,46.00,54.00,50.00,50.00,59.00,41.00,https://www.salford.ac.uk/hr/management-information/accordion/gender-pay-gap-reporting,
The Village Academy,"THE CENTRAL ACADEMY TEAM,
Pilgrims' Way Primary School,
Pilgrims Way,
Canterbury,
Kent,
United Kingdom,
CT1 1XU",07738386,"1,
85200",22.30,9.00,0.00,0.00,0.00,0.00,50.00,50.00,5.00,95.00,4.00,96.00,7.00,93.00,http://www.villageacademy.co.uk,
The Wales Community Rehabilitation Co. Ltd.,"Queensway House The Hedges, St Georges,
Weston Super Mare,
Avon,
BS22 7BB",08802571,84230,12.80,17.00,0.00,0.00,0.00,0.00,12.00,88.00,34.30,65.70,42.60,57.40,50.90,49.10,http://workinglinks.co.uk/content/view/Our+gender+pay+gap,Clare Davey (Chief HR Officer)
The Wilkins Group Ltd.,"1 Private Road,
Colwick Industrial Estate,
Nottingham,
United Kingdom,
NG4 2JX",04872997,82990,18.70,26.80,0.00,0.00,0.00,0.00,56.70,43.30,77.60,22.40,75.80,24.20,89.60,10.40,,Ann Wilkins (FD)
THE WORKSHOP (WISBECH) LIMITED,"9/10, The Crescent,
Wisbech,
Cambs,
PE13 1EH",03791548,78200,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,Danielle Hayes (payroll admin)
Third Bridge Group Ltd.,"Steward Building, No.12,
Steward Street,
London,
United Kingdom,
E1 6FQ",06263699,"70229,
82990",33.50,22.80,30.00,0.00,77.30,67.00,38.50,61.50,47.20,52.80,49.10,50.90,73.60,26.40,,Emmanuel Tahar (CEO)
Three Rivers District Council,"Three Rivers House,
Northway,
Rickmansworth,
Hertfordshire,
United Kingdom,
WD3 1RL",,"1,
84110",-11.00,-42.00,0.00,0.00,100.00,0.00,62.00,38.00,18.00,82.00,49.00,51.00,95.00,5.00,http://www.threerivers.gov.uk/egcl-page/transparency-and-openness-in-our-work,
TIGER U.K. (MIDLANDS) LIMITED,"19, Rodney Road,
Cheltenham,
Gloucestershire,
GL50 1HX",08702161,47190,12.90,6.00,100.00,100.00,6.00,0.00,20.60,79.40,25.40,74.60,28.40,71.60,48.50,51.50,,Simon Hall (Director)
